dialect_spell,mandarin_correspond,audio_path,dialect_pinyin,trans_text,example_sentence,cultural_note,category
ktun34ha:u33,吃饭,audio/20260202180153.wav,个后,,,,动词
phum33tok55,下雨,audio/20260202180319.wav,粪dog,,,,动词
ta42po33,爸爸,audio/20260202180541.wav,哒巴,,,,名词
ta42me33,妈妈,audio/20260202180634.wav,哒咩,,,,名词
ko35,哥哥,audio/20260202180734.wav,哒锅,,,,名词
xie24,姐姐,audio/20260202180702.wav,哒谢,,,,名词
ti35,弟弟,audio/20260202182346.wav,哒迪,,,,名词
nuəŋ33,妹妹,audio/20260202180803.wav,哒哝,,,,名词
yi4,一,audio/20260202180834.wav,意ì,,,,其他
əei11,二,audio/20260202180905.wav,A,,,,其他
thʌm021,三,audio/20260202180932.wav,thám,,,,其他
hong3,红,audio/20260202180958.wav,hǒng,,,,形容词
bə11,白,audio/20260202181026.wav,卜,,,,形容词
dəm13,黑,audio/20260202181058.wav,dèn,,,,形容词
hou3,米饭,audio/20260202181126.wav,后,,,,名词
əm1,水,audio/20260202181154.wav,wēm,,,,名词
bə4,菜,audio/20260202181223.wav,bù,,,,名词
ma12,狗,audio/20260202181312.wav,麻,,,,名词
miao12,猫,audio/20260202181339.wav,描,,,,名词
dit35,太阳,audio/20260202181407.wav,dáiyǎng,,,,名词